ticket_id,product,category,issue_description,resolution_notes,ticket_created_date,clean_text,sentiment,topic
1,Web Portal,Account Suspension,The payment was deducted from my bank account but the transaction shows failed.,Data synchronization restored after backend service restart.,2023-05-17,payment deducted bank account transaction shows failed data synchronization restored backend service restart,negative,40
2,Mobile App,Performance Issue,I found a bug in the latest update affecting report generation.,Provided step-by-step troubleshooting instructions and issue resolved.,2024-01-06,found bug latest update affecting report generation provided stepbystep troubleshooting instructions issue resolved,positive,47
3,Web Portal,Performance Issue,The application crashes whenever I try to upload a file.,Provided step-by-step troubleshooting instructions and issue resolved.,2022-11-30,application crashes whenever try upload file provided stepbystep troubleshooting instructions issue resolved,neutral,52
4,Payment Gateway,Subscription Cancellation,My subscription was cancelled without my request and I need clarification.,Provided step-by-step troubleshooting instructions and issue resolved.,2024-03-21,subscription cancelled without request need clarification provided stepbystep troubleshooting instructions issue resolved,neutral,24
5,Web Portal,Feature Request,The system is not syncing data across devices properly.,We have reset the account credentials and advised the customer to retry login.,2024-08-16,system syncing data across devices properly reset account credentials advised customer retry login,neutral,58
6,Subscription Service,Payment Problem,There seems to be a discrepancy in my billing statement for this month.,Provided step-by-step troubleshooting instructions and issue resolved.,2024-09-27,seems discrepancy billing statement month provided stepbystep troubleshooting instructions issue resolved,neutral,6
7,Subscription Service,Security Concern,I would like to request a refund for the recent charge.,The duplicate charge was reversed and refund processed within 3-5 business days.,2024-02-04,would like request refund recent charge duplicate charge reversed refund processed within 35 business days,neutral,19
8,Web Portal,Subscription Cancellation,Two-factor authentication codes are not being delivered to my phone.,Subscription status corrected and confirmation email sent to customer.,2024-08-26,twofactor authentication codes delivered phone subscription status corrected confirmation email sent customer,neutral,83
9,API Service,Security Concern,The payment was deducted from my bank account but the transaction shows failed.,We have reset the account credentials and advised the customer to retry login.,2024-06-26,payment deducted bank account transaction shows failed reset account credentials advised customer retry login,negative,98
10,Billing System,Performance Issue,I am unable to access my account after entering the correct credentials.,We have reset the account credentials and advised the customer to retry login.,2022-05-05,unable access account entering correct credentials reset account credentials advised customer retry login,negative,99
11,Subscription Service,Feature Request,The application crashes whenever I try to upload a file.,Security settings updated and customer notified of precautionary measures.,2023-10-10,application crashes whenever try upload file security settings updated customer notified precautionary measures,neutral,37
12,API Service,Security Concern,I am experiencing very slow performance while using the dashboard.,Explained billing breakdown and clarified applicable charges.,2024-06-16,experiencing slow performance using dashboard explained billing breakdown clarified applicable charges,negative,53
13,Cloud Storage,Account Suspension,I am experiencing very slow performance while using the dashboard.,The issue was escalated to engineering and resolved in the latest patch.,2023-11-15,experiencing slow performance using dashboard issue escalated engineering resolved latest patch,negative,13
14,Payment Gateway,Account Suspension,The application crashes whenever I try to upload a file.,The issue was escalated to engineering and resolved in the latest patch.,2024-04-12,application crashes whenever try upload file issue escalated engineering resolved latest patch,neutral,51
15,E-commerce Store,Feature Request,There seems to be a discrepancy in my billing statement for this month.,Data synchronization restored after backend service restart.,2022-05-23,seems discrepancy billing statement month data synchronization restored backend service restart,neutral,31
16,Billing System,Refund Request,The payment was deducted from my bank account but the transaction shows failed.,Security settings updated and customer notified of precautionary measures.,2023-02-08,payment deducted bank account transaction shows failed security settings updated customer notified precautionary measures,negative,71
17,API Service,Subscription Cancellation,I would like to request a refund for the recent charge.,Subscription status corrected and confirmation email sent to customer.,2023-10-22,would like request refund recent charge subscription status corrected confirmation email sent customer,neutral,92
18,Mobile App,Refund Request,The application crashes whenever I try to upload a file.,The issue was escalated to engineering and resolved in the latest patch.,2024-02-26,application crashes whenever try upload file issue escalated engineering resolved latest patch,neutral,51
19,Analytics Dashboard,Account Suspension,I would like to request a refund for the recent charge.,Payment gateway timeout issue fixed and monitoring implemented.,2024-07-02,would like request refund recent charge payment gateway timeout issue fixed monitoring implemented,neutral,74
20,E-commerce Store,Login Issue,The application crashes whenever I try to upload a file.,Bug logged internally and workaround shared with the customer.,2024-08-12,application crashes whenever try upload file bug logged internally workaround shared customer,neutral,50
